X,Y,ADJG,B_ERR,BOUGUER,COORD_ERR,DAY,DEPTH,DEPTH_ERR,DEPTH_TYPE,ELEV,ELEV_ERR,FA_ERR,FREEAIR,G_ERR,PROJ,STATUS,STN,STN_TYPE,TC,TC_ERR,TIME
-114.822835,57.020097,981470.5,1.11,-92.67,100,02-Jul-67,0,0,1,580.34,3,1.05,-27.7,0.5,1967006,1,12258,1,0,0,1944
-114.609481,56.97343,981504.7,1.11,-79.15,100,02-Jul-67,0,0,1,455.37,3,1.05,-28.17,0.5,1967006,1,12259,1,0,0,2003
-114.419475,57.015096,981485,1.11,-75.96,100,23-Jul-67,0,0,1,589.48,3,1.05,-9.96,0.5,1967006,1,12545,1,0,0,1607
-114.479479,57.066764,981489.3,1.11,-74.68,100,23-Jul-67,0,0,1,595.88,3,1.05,-7.97,0.5,1967006,1,12546,1,0,0,1615
-113.869432,56.983426,981509.4,1.11,-63,100,22-Jul-67,0,0,1,517.86,3,1.05,-5.03,0.5,1967006,1,14490,1,0,0,1522
-114.144452,56.991761,981493.3,1.11,-71.05,100,22-Jul-67,0,0,1,562.36,3,1.05,-8.1,0.5,1967006,1,14514,1,0,0,2059
-114.587822,57.030098,981510.9,1.11,-77.46,100,23-Jul-67,0,0,1,456.29,3,1.05,-26.38,0.5,1967006,1,14515,1,0,0,1605
-114.704496,57.121766,981521.1,1.11,-80.36,100,23-Jul-67,0,0,1,428.24,3,1.05,-32.42,0.5,1967006,1,14516,1,0,0,1614
-114.872847,57.116765,981515.4,1.11,-88.34,100,23-Jul-67,0,0,1,414.53,3,1.05,-41.93,0.5,1967006,1,14517,1,0,0,1623
-113.661088,56.99676,981495.5,1.11,-62.02,100,22-Jul-67,0,0,1,599.24,3,1.05,5.06,0.5,1967006,1,14491,1,0,0,1536
-113.192717,56.961762,981509.7,1.11,-61.15,100,22-Jul-67,0,0,1,516.64,3,1.05,-3.31,0.5,1967006,1,14493,1,0,0,1559
-112.547675,56.963434,981512.9,1.11,-62.58,100,22-Jul-67,0,0,1,493.78,3,1.05,-7.3,0.5,1967006,1,14497,1,0,0,1647
-112.569344,57.050104,981519.4,1.11,-63.31,100,22-Jul-67,0,0,1,493.47,3,1.05,-8.07,0.5,1967006,1,14498,1,0,0,1657
-112.654341,57.170105,981525.3,1.11,-61.41,100,22-Jul-67,0,0,1,523.65,3,1.05,-2.79,0.5,1967006,1,14499,1,0,0,1714
-112.846025,57.126769,981521,1.11,-62.01,100,22-Jul-67,0,0,1,524.26,3,1.05,-3.32,0.5,1967006,1,14507,1,0,0,1933
-112.936031,57.038429,981513,1.11,-64.26,100,22-Jul-67,0,0,1,516.33,3,1.05,-6.46,0.5,1967006,1,14508,1,0,0,1942
-113.15772,57.106765,981513,1.11,-60.81,100,22-Jul-67,0,0,1,562.66,3,1.05,2.18,0.5,1967006,1,14509,1,0,0,1954
-113.442734,57.125098,981488.2,1.11,-63,100,22-Jul-67,0,0,1,685.5,3,1.05,13.74,0.5,1967006,1,14510,1,0,0,2009
-113.429401,57.015095,981502.4,1.11,-58.68,100,22-Jul-67,0,0,1,588.87,3,1.05,7.25,0.5,1967006,1,14511,1,0,0,2019
-113.649414,57.068428,981488.8,1.11,-63.82,100,22-Jul-67,0,0,1,654.41,3,1.05,9.44,0.5,1967006,1,14512,1,0,0,2032
-113.856101,57.080095,981497.1,1.11,-65.05,100,22-Jul-67,0,0,1,610.82,3,1.05,3.34,0.5,1967006,1,14513,1,0,0,2044
-122.368146,57.351559,981461.6,1.11,-100.99,100,02-Sep-67,0,0,1,703.17,3,1.05,-26.1,0.5,1967006,1,14917,1,3.83,0,1619
-122.56481,57.36989,981366.8,1.11,-107.75,100,02-Sep-67,0,0,1,1169.21,3,1.05,21.29,0.5,1967006,1,14923,1,1.86,0,1716
-122.511477,57.284893,981444.2,1.11,-109.84,100,02-Sep-67,0,0,1,738.23,3,1.05,-27.19,0.5,1967006,1,14924,1,0,0,1731
-122.721474,57.184725,981346.9,0.13,-114.55,20,01-Jan-01,0,0,1,1162.6,0.3,0.11,14.62,0.05,1977105,1,20863,1,0.98,0.07,0
-122.703637,57.224892,981393.6,0.14,-113.09,20,01-Jan-01,0,0,1,948.66,0.3,0.11,-7.96,0.05,1977105,1,20869,1,1.07,0.08,0
-122.719308,57.246725,981402.2,0.13,-114.73,20,01-Jan-01,0,0,1,907.6,0.3,0.11,-13.82,0.05,1977105,1,20871,1,0.69,0.06,0
-122.769977,57.283224,981363.1,0.12,-115.35,20,01-Jan-01,0,0,1,1116.79,0.3,0.11,8.57,0.05,1977105,1,20877,1,1.11,0.05,0
-122.788481,57.326224,981381.6,0.12,-115.88,20,01-Jan-01,0,0,1,1041.2,0.3,0.11,0.22,0.05,1977105,1,20885,1,0.47,0.04,0
-122.842644,57.360389,981367.4,0.12,-116.99,20,01-Jan-01,0,0,1,1120.63,0.3,0.11,7.69,0.05,1977105,1,20891,1,0.77,0.05,0
-122.859981,57.409554,981375.2,0.07,-117.43,20,01-Jan-01,0,0,1,1100.79,0.01,0.05,5.33,0.05,1977105,1,20896,1,0.48,0.04,0
-122.736476,57.257891,981385.63,0.14,-114.33,10,14-Jun-89,0,0,1,998.8,0.3,0.14,-3.19,0.1,1989112,1,2007,1,0.68,0,2204
-122.827979,57.315891,981384.25,0.34,-116.89,10,14-Jun-89,0,0,1,1015.16,1,0.32,-4.31,0.1,1989112,1,2008,1,1.07,0,2220
-123.607334,57.343843,981196.63,0.48,-142.77,10,04-Jul-89,0,0,1,1794.46,1,0.32,46,0.1,1989112,1,2406,1,12.12,0.3,2314
-123.456676,57.359359,981311.69,0.34,-132.86,10,04-Jul-89,0,0,1,1313.53,1,0.32,11.53,0.1,1989112,1,2407,1,2.66,0,2327
-123.296328,57.347047,981297.88,0.34,-125.24,10,04-Jul-89,0,0,1,1406.86,1,0.32,27.51,0.1,1989112,1,2408,1,4.75,0,2336
-123.119318,57.352884,981344.38,0.34,-120.15,10,04-Jul-89,0,0,1,1218.17,1,0.32,15.36,0.1,1989112,1,2409,1,0.86,0,2348
-122.96998,57.331559,981368.94,0.34,-117.24,10,04-Jul-89,0,0,1,1100.05,1,0.32,5.26,0.1,1989112,1,2410,1,0.65,0,2358
-122.794646,57.34056,981374.69,0.14,-116.48,10,15-Jun-89,0,0,1,1079.99,0.3,0.14,4.09,0.1,1989112,1,2506,1,0.34,0,27
-122.90898,57.25356,981388.44,0.34,-117.44,10,04-Jul-89,0,0,1,966.51,1,0.32,-9.98,0.1,1989112,1,2890,1,0.74,0,2157
-123.082813,57.252558,981384.38,0.35,-122.78,10,04-Jul-89,0,0,1,952.12,1,0.32,-18.39,0.1,1989112,1,2891,1,2.2,0,2207
-123.264659,57.255052,981343.94,0.35,-126.71,10,04-Jul-89,0,0,1,1134.57,1,0.32,-2.79,0.1,1989112,1,2892,1,3.09,0,2220
-123.392663,57.249705,981159.5,2.37,-132.52,10,04-Jul-89,0,0,1,1935.92,1,0.32,60.23,0.1,1989112,1,2893,1,23.98,2.3,2232
-123.571507,57.253027,981202.5,0.47,-142.4,10,04-Jul-89,0,0,1,1738.62,1,0.32,42.14,0.1,1989112,1,2894,1,10.1,0.3,2242
-121.021446,57.388222,981446.1,1.11,-84.99,100,13-Aug-67,0,0,1,897.94,3,1.05,15.44,0.5,1967006,1,12697,1,0.1,0,2627
-121.214789,57.366563,981468.5,1.11,-86.28,100,13-Aug-67,0,0,1,766.88,3,1.05,-0.79,0.5,1967006,1,12698,1,0.36,0,2638
-121.814796,57.278232,981470.4,1.11,-89.31,100,15-Aug-67,0,0,1,706.53,3,1.05,-10.22,0.5,1967006,1,12733,1,0,0,1806
-121.341463,57.229903,981468.1,1.11,-90.79,100,01-Sep-67,0,0,1,687.02,3,1.05,-14.55,0.5,1967006,1,14912,1,0.67,0,1945
-121.583117,57.393228,981448.5,1.11,-85.39,100,01-Sep-67,0,0,1,885.44,3,1.05,13.57,0.5,1967006,1,14913,1,0.16,0,2040
-121.923138,57.384895,981462.9,1.11,-85.47,100,01-Sep-67,0,0,1,801.62,3,1.05,2.81,0.5,1967006,1,14914,1,1.46,0,2058
-122.021468,57.341562,981418.6,1.11,-94.2,100,02-Sep-67,0,0,1,972.01,3,1.05,14.62,0.5,1967006,1,14915,1,0,0,1558
-122.13981,57.264896,981432.8,1.11,-98.43,100,02-Sep-67,0,0,1,838.81,3,1.05,-5.93,0.5,1967006,1,14916,1,1.4,0,1607
-121.763125,57.193235,981453.7,1.11,-92.26,100,02-Sep-67,0,0,1,732.13,3,1.05,-12.01,0.5,1967006,1,14935,1,1.71,0,2026
-121.934802,57.246566,981449.9,1.11,-93.35,100,02-Sep-67,0,0,1,772.06,3,1.05,-7.9,0.5,1967006,1,14936,1,0.98,0,2041
-121.661459,57.294898,981472.6,1.11,-87.77,100,02-Sep-67,0,0,1,704.09,3,1.05,-10.15,0.5,1967006,1,14937,1,1.2,0,2053
-121.021458,57.278228,981455.6,1.11,-83.02,100,03-Sep-67,0,0,1,813.51,3,1.05,7.97,0.5,1967006,1,14952,1,0.08,0,1358
-120.899788,57.289888,981458.7,1.11,-77.67,100,03-Sep-67,0,0,1,830.28,3,1.05,15.28,0.5,1967006,1,14953,1,0,0,1410
-122.41481,57.433222,981466.5,1.11,-97.94,100,02-Sep-67,0,0,1,705.31,3,1.05,-27.26,0.5,1967006,1,14919,1,8.28,0,1637
-122.466481,57.544888,981440.7,1.11,-100.13,100,02-Sep-67,0,0,1,904.04,3,1.05,-0.96,0.5,1967006,1,14920,1,2.04,0,1647
-122.689819,57.563219,981426.4,1.11,-105.05,100,02-Sep-67,0,0,1,964.08,3,1.05,1.74,0.5,1967006,1,14921,1,1.14,0,1658
-122.666484,57.453221,981437.5,1.11,-105.8,100,02-Sep-67,0,0,1,840.94,3,1.05,-16.09,0.5,1967006,1,14922,1,4.43,0,1707
-122.880985,57.457553,981347.2,0.25,-117.1,20,01-Jan-01,0,0,1,1257.54,0.3,0.11,21.7,0.05,1977105,1,20916,1,1.98,0.22,0
-122.907156,57.504885,981368.6,0.2,-115.46,20,01-Jan-01,0,0,1,1176.99,0.3,0.11,14.38,0.05,1977105,1,20923,1,1.93,0.17,0
-122.924987,57.554552,981377.7,0.27,-114.42,20,01-Jan-01,0,0,1,1153.82,0.01,0.05,12.25,0.05,1977105,1,20929,1,2.5,0.26,0
-122.941155,57.588886,981370.3,0.38,-114.35,20,01-Jan-01,0,0,1,1202.65,0.3,0.11,17.09,0.05,1977105,1,20934,1,3.2,0.36,0
-122.968323,57.629884,981372.7,0.4,-113.81,20,01-Jan-01,0,0,1,1207.71,0.01,0.05,17.69,0.05,1977105,1,20938,1,3.71,0.4,0
-122.871487,57.446216,981348.63,0.14,-117.07,10,14-Jun-89,0,0,1,1246.99,0.3,0.14,20.81,0.1,1989112,1,2009,1,1.72,0,2320
-122.918486,57.540215,981359.88,0.15,-114.74,10,15-Jun-89,0,0,1,1235.99,0.3,0.14,20.94,0.1,1989112,1,2010,1,2.69,0,43
-122.968491,57.629384,981373.06,0.15,-113.54,10,15-Jun-89,0,0,1,1206.91,0.3,0.14,17.84,0.1,1989112,1,2011,1,3.73,0.1,134
