Bot-Hole Latitude (NAD27),Bot-Hole Longitude (NAD27),Bot-Hole Easting (NAD27),Bot-Hole Northing (NAD27),Well Unique Identifier
55.83971,-116.4432,534871.3,6188166,280
55.8436,-116.45148,534349.4,6188594.8,281
55.84161,-116.45846,533914,6188369.9,282
55.84154,-116.47273,533019.9,6188355.2,283
55.84279,-116.47444,532911.7,6188493.5,284
55.84325,-116.47408,532933.9,6188544.9,285
55.8459,-116.4676,533337.4,6188842.9,286
55.84482,-116.46217,533678.3,6188725.3,287
55.84592,-116.45758,533964.8,6188850,288
55.8491,-116.45941,533847.4,6189203,289
55.84063,-116.50452,531029.9,6188239.3,290
55.84396,-116.50453,531026.6,6188609.9,291
55.84831,-116.48526,532229.7,6189102.8,292
55.85244,-116.50138,531217.1,6189555.1,293
55.85125,-116.48857,532020,6189428.4,294
55.85549,-116.47643,532776.5,6189906,295
55.85861,-116.45391,534183.5,6190264,296
55.85698,-116.44515,534733.2,6190087,297
55.87235,-116.42252,536136.2,6191809,298
55.87644,-116.43243,535511.8,6192259.1,299
55.87644,-116.43243,535511.8,6192259.1,300
55.88132,-116.43444,535381.6,6192801.2,301
55.89518,-116.48072,532475,6194321.1,302
55.8901,-116.46411,533518,6193763.6,303
55.89297,-116.47044,533119.7,6194080,304
55.88889,-116.44951,534432.2,6193636.1,305
55.88459,-116.39424,537893.8,6193186.3,306
55.88459,-116.39425,537893.2,6193186.3,307
55.81301,-116.50819,530821.8,6185163.9,308
55.83326,-116.64091,522493,6187366.8,309
55.83326,-116.64091,522493,6187366.8,310
55.83654,-116.64089,522492.4,6187731.8,311
55.83242,-116.57399,526685.1,6187296.8,312
55.82775,-116.54775,528332,6186787.5,313
55.82775,-116.54775,528332,6186787.5,314
55.83197,-116.53562,529088.8,6187262.1,315
55.83518,-116.50707,530874.5,6187631.6,316
55.83337,-116.51153,530596.6,6187428.2,317
55.8444,-116.51266,530517.2,6188655.3,318
55.84985,-116.52131,529971.4,6189258,319
55.85123,-116.51258,530516.9,6189415.4,320
55.84022,-116.58312,526108,6188161.4,321
55.8419,-116.59551,525331,6188343.8,322
55.85038,-116.60804,524541.1,6189283.1,323
55.88125,-116.51896,530094.4,6192753.6,324
55.89327,-116.52412,529762.4,6194089.1,325
